Date,Value
Jan 1871,19.7
Feb 1871,10.7
Mar 1871,14.5
Apr 1871,33.9
May 1871,63.6
Jun 1871,208
Jul 1871,277.8
Aug 1871,179.4
Sep 1871,183.6
Oct 1871,36.8
Nov 1871,32.4
Dec 1871,6.7
Jan 1872,7.6
Feb 1872,7.5
Mar 1872,7.3
Apr 1872,24
May 1872,43.8
Jun 1872,189.2
Jul 1872,291.3
Aug 1872,245.2
Sep 1872,187.9
Oct 1872,78.5
Nov 1872,27.6
Dec 1872,19.1
Jan 1873,3.7
Feb 1873,13.5
Mar 1873,15
Apr 1873,24.3
May 1873,42.8
Jun 1873,113
Jul 1873,264.5
Aug 1873,214.2
Sep 1873,165.6
Oct 1873,60.7
Nov 1873,11.5
Dec 1873,9
Jan 1874,8.6
Feb 1874,15.8
Mar 1874,10.7
Apr 1874,16.9
May 1874,68.3
Jun 1874,227.9
Jul 1874,307
Aug 1874,233.5
Sep 1874,206.2
Oct 1874,93.3
Nov 1874,18.7
Dec 1874,4
Jan 1875,9.900001
Feb 1875,11.4
Mar 1875,13.1
Apr 1875,23.2
May 1875,50.6
Jun 1875,192.7
Jul 1875,307.9
Aug 1875,218.7
Sep 1875,210.5
Oct 1875,56.6
Nov 1875,6.3
Dec 1875,7.1
Jan 1876,0.9
Feb 1876,2.1
Mar 1876,16
Apr 1876,16.5
May 1876,42.6
Jun 1876,123.3
Jul 1876,296.8
Aug 1876,195.6
Sep 1876,162
Oct 1876,46.4
Nov 1876,9.5
Dec 1876,2.5
Jan 1877,29.2
Feb 1877,23.5
Mar 1877,24
Apr 1877,35.3
May 1877,67.4
Jun 1877,142.4
Jul 1877,156.4
Aug 1877,156.9
Sep 1877,148.3
Oct 1877,107.8
Nov 1877,18.9
Dec 1877,36.5
Jan 1878,10.8
Feb 1878,9.1
Mar 1878,10.2
Apr 1878,36.1
May 1878,66.5
Jun 1878,130.4
Jul 1878,294
Aug 1878,339.4
Sep 1878,212.4
Oct 1878,79.8
Nov 1878,27.3
Dec 1878,14
Jan 1879,2.2
Feb 1879,10.7
Mar 1879,8
Apr 1879,8.2
May 1879,87.7
Jun 1879,190.1
Jul 1879,224.1
Aug 1879,322.1
Sep 1879,161.6
Oct 1879,86.6
Nov 1879,20.5
Dec 1879,7.1
Jan 1880,3.9
Feb 1880,16.5
Mar 1880,15.1
Apr 1880,21.1
May 1880,49.6
Jun 1880,187.6
Jul 1880,271.8
Aug 1880,176.8
Sep 1880,184.1
Oct 1880,87.7
Nov 1880,52.8
Dec 1880,11.1
Jan 1881,1.3
Feb 1881,3.2
Mar 1881,33.1
Apr 1881,23.7
May 1881,53.1
Jun 1881,160.7
Jul 1881,292.7
Aug 1881,264.6
Sep 1881,143.4
Oct 1881,49.3
Nov 1881,34.7
Dec 1881,6.2
Jan 1882,10
Feb 1882,9.400001
Mar 1882,9
Apr 1882,18.8
May 1882,59.6
Jun 1882,213
Jul 1882,331.1
Aug 1882,190.3
Sep 1882,168.6
Oct 1882,73.9
Nov 1882,59.6
Dec 1882,6.1
Jan 1883,17.9
Feb 1883,3.6
Mar 1883,18.9
Apr 1883,16.5
May 1883,62.1
Jun 1883,204.3
Jul 1883,269
Aug 1883,187.9
Sep 1883,188.1
Oct 1883,83
Nov 1883,28.2
Dec 1883,15.5
Jan 1884,7.1
Feb 1884,7.4
Mar 1884,8.2
Apr 1884,20.3
May 1884,38.3
Jun 1884,159.3
Jul 1884,292.4
Aug 1884,242.6
Sep 1884,238.6
Oct 1884,86.7
Nov 1884,27
Dec 1884,30.5
Jan 1885,9.6
Feb 1885,9.900001
Mar 1885,13.6
Apr 1885,20
May 1885,52.8
Jun 1885,194
Jul 1885,272.9
Aug 1885,248
Sep 1885,132.7
Oct 1885,73.7
Nov 1885,32.1
Dec 1885,50.2
Jan 1886,4.9
Feb 1886,1.2
Mar 1886,22.2
Apr 1886,12.4
May 1886,71.2
Jun 1886,197.7
Jul 1886,315.9
Aug 1886,221.8
Sep 1886,139
Oct 1886,132
Nov 1886,21.4
Dec 1886,17.1
Jan 1887,17.6
Feb 1887,0.6
Mar 1887,14.8
Apr 1887,20.9
May 1887,55.2
Jun 1887,189.8
Jul 1887,301.3
Aug 1887,257.5
Sep 1887,150.8
Oct 1887,87.9
Nov 1887,41.1
Dec 1887,13
Jan 1888,19.7
Feb 1888,13.6
Mar 1888,11.9
Apr 1888,25.9
May 1888,53.1
Jun 1888,132.3
Jul 1888,274.3
Aug 1888,280
Sep 1888,125
Oct 1888,38.2
Nov 1888,53.1
Dec 1888,7.2
Jan 1889,10.6
Feb 1889,13.4
Mar 1889,6.7
Apr 1889,24.3
May 1889,44.8
Jun 1889,203.5
Jul 1889,279.8
Aug 1889,278.1
Sep 1889,169.3
Oct 1889,94.1
Nov 1889,25.4
Dec 1889,6.8
Jan 1890,2.6
Feb 1890,1.1
Mar 1890,17.3
Apr 1890,26.1
May 1890,35.9
Jun 1890,227.9
Jul 1890,300.9
Aug 1890,214.1
Sep 1890,162.6
Oct 1890,64.7
Nov 1890,35.1
Dec 1890,13.6
Jan 1891,11.5
Feb 1891,13.4
Mar 1891,34.8
Apr 1891,20.7
May 1891,59.5
Jun 1891,83.4
Jul 1891,257.1
Aug 1891,229.8
Sep 1891,222.2
Oct 1891,60.2
Nov 1891,17.3
Dec 1891,7.1
Jan 1892,5.3
Feb 1892,10.6
Mar 1892,5.7
Apr 1892,32.9
May 1892,54.1
Jun 1892,158
Jul 1892,313.9
Aug 1892,306.3
Sep 1892,213.5
Oct 1892,99.3
Nov 1892,12.6
Dec 1892,7
Jan 1893,22.5
Feb 1893,28.4
Mar 1893,46.7
Apr 1893,25.2
May 1893,94.6
Jun 1893,241.6
Jul 1893,256.8
Aug 1893,230.9
Sep 1893,225.6
Oct 1893,97
Nov 1893,64.2
Dec 1893,2.2
Jan 1894,11.5
Feb 1894,14.4
Mar 1894,18.1
Apr 1894,24.8
May 1894,36
Jun 1894,216.8
Jul 1894,311.4
Aug 1894,241.5
Sep 1894,201.8
Oct 1894,138.8
Nov 1894,38.5
Dec 1894,13.7
Jan 1895,10.9
Feb 1895,7.7
Mar 1895,11.9
Apr 1895,37.6
May 1895,41.5
Jun 1895,198.3
Jul 1895,256.7
Aug 1895,229.9
Sep 1895,138.8
Oct 1895,79.3
Nov 1895,13.4
Dec 1895,11.9
Jan 1896,3.1
Feb 1896,6.1
Mar 1896,6.8
Apr 1896,17
May 1896,41.2
Jun 1896,203.4
Jul 1896,284.6
Aug 1896,263.4
Sep 1896,77.3
Oct 1896,14.9
Nov 1896,43.5
Dec 1896,17.5
Jan 1897,9.2
Feb 1897,12.4
Mar 1897,20.8
Apr 1897,21.6
May 1897,43.5
Jun 1897,142.6
Jul 1897,259.9
Aug 1897,290.5
Sep 1897,198.1
Oct 1897,85.6
Nov 1897,13
Dec 1897,1.8
Jan 1898,2.1
Feb 1898,30.7
Mar 1898,2.8
Apr 1898,21.1
May 1898,37.5
Jun 1898,171.7
Jul 1898,292.9
Aug 1898,220.8
Sep 1898,199.2
Oct 1898,65.5
Nov 1898,39.3
Dec 1898,12.5
Jan 1899,5.8
Feb 1899,6.6
Mar 1899,7.4
Apr 1899,52.3
May 1899,52.7
Jun 1899,195.2
Jul 1899,187.8
Aug 1899,144.1
Sep 1899,102
Oct 1899,50.7
Nov 1899,4.1
Dec 1899,2.6
Jan 1900,15.3
Feb 1900,6.7
Mar 1900,10.3
Apr 1900,38.5
May 1900,40.6
Jun 1900,128.7
Jul 1900,252.1
Aug 1900,271.4
Sep 1900,237.2
Oct 1900,49
Nov 1900,10.4
Dec 1900,14.1
Jan 1901,27.4
Feb 1901,33.7
Mar 1901,11.3
Apr 1901,31.6
May 1901,39.1
Jun 1901,114.9
Jul 1901,222.6
Aug 1901,259
Sep 1901,125.6
Oct 1901,54
Nov 1901,43.1
Dec 1901,9.5
Jan 1902,6.7
Feb 1902,2.5
Mar 1902,10.2
Apr 1902,35.4
May 1902,41.8
Jun 1902,103.8
Jul 1902,279.7
Aug 1902,197.2
Sep 1902,211.2
Oct 1902,69.8
Nov 1902,27.8
Dec 1902,26.9
Jan 1903,8.5
Feb 1903,5.5
Mar 1903,10.2
Apr 1903,12.1
May 1903,56.3
Jun 1903,126.9
Jul 1903,278.9
Aug 1903,259.3
Sep 1903,195.7
Oct 1903,128.8
Nov 1903,43.4
Dec 1903,15.2
Jan 1904,5.9
Feb 1904,8.6
Mar 1904,20.3
Apr 1904,31.1
May 1904,68.6
Jun 1904,179.5
Jul 1904,247.6
Aug 1904,197
Sep 1904,126.2
Oct 1904,70.7
Nov 1904,9
Dec 1904,9.900001
Jan 1905,12.8
Feb 1905,14.5
Mar 1905,28.6
Apr 1905,27.1
May 1905,47.6
Jun 1905,90.8
Jul 1905,245.6
Aug 1905,205.2
Sep 1905,174.8
Oct 1905,61
Nov 1905,9.8
Dec 1905,2.5
Jan 1906,15.1
Feb 1906,38.5
Mar 1906,22
Apr 1906,13.5
May 1906,32.8
Jun 1906,181.8
Jul 1906,287.6
Aug 1906,241.8
Sep 1906,173.9
Oct 1906,54.4
Nov 1906,19.9
Dec 1906,26.4
Jan 1907,6.3
Feb 1907,32.4
Mar 1907,25.6
Apr 1907,52.3
May 1907,26.4
Jun 1907,154.1
Jul 1907,221.7
Aug 1907,301.4
Sep 1907,100.3
Oct 1907,20.5
Nov 1907,23.8
Dec 1907,12.8
Jan 1908,15.6
Feb 1908,12.6
Mar 1908,6.8
Apr 1908,15.6
May 1908,39
Jun 1908,127.8
Jul 1908,316.5
Aug 1908,295.5
Sep 1908,157.3
Oct 1908,42.4
Nov 1908,5.9
Dec 1908,1.8
Jan 1909,16.2
Feb 1909,5.8
Mar 1909,3
Apr 1909,60.5
May 1909,51.9
Jun 1909,209.8
Jul 1909,296.1
Aug 1909,222.6
Sep 1909,160.8
Oct 1909,36.9
Nov 1909,10.1
Dec 1909,24.5
Jan 1910,5.4
Feb 1910,4.2
Mar 1910,7.9
Apr 1910,21.1
May 1910,35.8
Jun 1910,211.7
Jul 1910,237.8
Aug 1910,282.7
Sep 1910,202.8
Oct 1910,108.5
Nov 1910,37.9
Dec 1910,0.3
Jan 1911,16.2
Feb 1911,1.3
Mar 1911,24.1
Apr 1911,19.6
May 1911,44.1
Jun 1911,192.6
Jul 1911,153.4
Aug 1911,211
Sep 1911,179.4
Oct 1911,72.5
Nov 1911,41.5
Dec 1911,11.4
Jan 1912,7
Feb 1912,18.7
Mar 1912,12.9
Apr 1912,30.9
May 1912,36.2
Jun 1912,105.8
Jul 1912,320.6
Aug 1912,257.9
Sep 1912,121.5
Oct 1912,66
Nov 1912,56
Dec 1912,2.5
Jan 1913,1.2
Feb 1913,31
Mar 1913,16.3
Apr 1913,20.4
May 1913,70.2
Jun 1913,215.1
Jul 1913,264.2
Aug 1913,188.1
Sep 1913,117
Oct 1913,73.1
Nov 1913,17.9
Dec 1913,20.8
Jan 1914,1.2
Feb 1914,12.1
Mar 1914,14.8
Apr 1914,34.5
May 1914,63.4
Jun 1914,161.6
Jul 1914,320.8
Aug 1914,232.9
Sep 1914,182.9
Oct 1914,41
Nov 1914,20.6
Dec 1914,15.6
Jan 1915,18.4
Feb 1915,25.7
Mar 1915,39
Apr 1915,25.9
May 1915,63.1
Jun 1915,156.7
Jul 1915,229.8
Aug 1915,213.1
Sep 1915,181
Oct 1915,88.7
Nov 1915,54.5
Dec 1915,6.1
Jan 1916,1.2
Feb 1916,9.3
Mar 1916,3.4
Apr 1916,23.3
May 1916,48.1
Jun 1916,199.1
Jul 1916,258.2
Aug 1916,289.8
Sep 1916,203.6
Oct 1916,147.3
Nov 1916,50.8
Dec 1916,2.9
Jan 1917,3.2
Feb 1917,34.6
Mar 1917,14.6
Apr 1917,23.3
May 1917,71.4
Jun 1917,214.3
Jul 1917,246.6
Aug 1917,275.5
Sep 1917,267.8
Oct 1917,159.5
Nov 1917,31.6
Dec 1917,4.6
Jan 1918,10.6
Feb 1918,2
Mar 1918,14.6
Apr 1918,18.6
May 1918,88
Jun 1918,181.3
Jul 1918,143.5
Aug 1918,220.5
Sep 1918,105.6
Oct 1918,14.7
Nov 1918,47.3
Dec 1918,11.1
Jan 1919,37.4
Feb 1919,12.2
Mar 1919,11.5
Apr 1919,20.3
May 1919,51.3
Jun 1919,179.4
Jul 1919,271.2
Aug 1919,280.8
Sep 1919,153.1
Oct 1919,70.7
Nov 1919,59
Dec 1919,13.7
Jan 1920,20.7
Feb 1920,8.7
Mar 1920,25.5
Apr 1920,22.8
May 1920,45.4
Jun 1920,142.6
Jul 1920,291.7
Aug 1920,162.8
Sep 1920,122
Oct 1920,48.4
Nov 1920,30.3
Dec 1920,0.5
Jan 1921,29.6
Feb 1921,2.3
Mar 1921,11
Apr 1921,31.9
May 1921,29.6
Jun 1921,167.2
Jul 1921,266.6
Aug 1921,236.2
Sep 1921,195.9
Oct 1921,66.4
Nov 1921,19.1
Dec 1921,4.6
Jan 1922,22.8
Feb 1922,4.7
Mar 1922,4.2
Apr 1922,16.9
May 1922,37.1
Jun 1922,180.3
Jul 1922,291
Aug 1922,202.8
Sep 1922,195
Oct 1922,51.8
Nov 1922,64.8
Dec 1922,9.2
Jan 1923,10.7
Feb 1923,26.3
Mar 1923,15.9
Apr 1923,20.8
May 1923,39.8
Jun 1923,93.7
Jul 1923,297
Aug 1923,260.5
Sep 1923,172
Oct 1923,60.8
Nov 1923,20.7
Dec 1923,13.9
Jan 1924,14.1
Feb 1924,7
Mar 1924,5.5
Apr 1924,22.6
May 1924,40.6
Jun 1924,110.8
Jul 1924,299.9
Aug 1924,225
Sep 1924,226.9
Oct 1924,61.7
Nov 1924,62.8
Dec 1924,10.6
Jan 1925,4.3
Feb 1925,2.4
Mar 1925,9.400001
Apr 1925,30.5
May 1925,80.6
Jun 1925,187.1
Jul 1925,285.9
Aug 1925,213.3
Sep 1925,117.4
Oct 1925,72
Nov 1925,43.4
Dec 1925,17.6
Jan 1926,26.7
Feb 1926,5
Mar 1926,41.8
Apr 1926,27.1
May 1926,51.8
Jun 1926,81.5
Jul 1926,287.6
Aug 1926,323.6
Sep 1926,209.9
Oct 1926,53.1
Nov 1926,10.9
Dec 1926,5.7
Jan 1927,8
Feb 1927,23.2
Mar 1927,16.3
Apr 1927,23.3
May 1927,44.1
Jun 1927,161.1
Jul 1927,319.5
Aug 1927,221.8
Sep 1927,150.8
Oct 1927,61.3
Nov 1927,61.1
Dec 1927,9.400001
Jan 1928,9.900001
Feb 1928,28.2
Mar 1928,8.6
Apr 1928,22.9
May 1928,40.9
Jun 1928,154.1
Jul 1928,283.4
Aug 1928,198.2
Sep 1928,132
Oct 1928,123.9
Nov 1928,16.9
Dec 1928,16.8
Jan 1929,17.8
Feb 1929,15.2
Mar 1929,9.7
Apr 1929,40.6
May 1929,45.8
Jun 1929,182.8
Jul 1929,287
Aug 1929,221.2
Sep 1929,130.1
Oct 1929,91.9
Nov 1929,20
Dec 1929,26.4
Jan 1930,8.900001
Feb 1930,11.6
Mar 1930,11.3
Apr 1930,24.9
May 1930,53.7
Jun 1930,173.1
Jul 1930,280.1
Aug 1930,178.3
Sep 1930,172.9
Oct 1930,97.3
Nov 1930,59.3
Dec 1930,9.8
Jan 1931,4.2
Feb 1931,17.4
Mar 1931,9.7
Apr 1931,21.2
May 1931,43.1
Jun 1931,114.8
Jul 1931,282.7
Aug 1931,289.8
Sep 1931,189.9
Oct 1931,128.3
Nov 1931,46.4
Dec 1931,24.5
Jan 1932,1.4
Feb 1932,16
Mar 1932,11.3
Apr 1932,22.2
May 1932,65.6
Jun 1932,112.1
Jul 1932,313.6
Aug 1932,204.1
Sep 1932,173.6
Oct 1932,70.3
Nov 1932,60.6
Dec 1932,7.9
Jan 1933,7.8
Feb 1933,20.2
Mar 1933,10.7
Apr 1933,36
May 1933,101.1
Jun 1933,202.3
Jul 1933,257.2
Aug 1933,310.3
Sep 1933,206
Oct 1933,91.3
Nov 1933,19.7
Dec 1933,17.5
Jan 1934,14.7
Feb 1934,7.5
Mar 1934,8.8
Apr 1934,25.7
May 1934,33.2
Jun 1934,203.5
Jul 1934,254.8
Aug 1934,283.8
Sep 1934,171.3
Oct 1934,69.3
Nov 1934,34.2
Dec 1934,5.1
Jan 1935,14.7
Feb 1935,10.5
Mar 1935,6.5
Apr 1935,28.3
May 1935,20.6
Jun 1935,140.2
Jul 1935,304.7
Aug 1935,221.8
Sep 1935,176.8
Oct 1935,54.4
Nov 1935,10.8
Dec 1935,9
Jan 1936,6
Feb 1936,29.2
Mar 1936,18.2
Apr 1936,18.7
May 1936,83.7
Jun 1936,239.4
Jul 1936,260.4
Aug 1936,218.9
Sep 1936,189.5
Oct 1936,70.2
Nov 1936,62.5
Dec 1936,10.3
Jan 1937,1
Feb 1937,41
Mar 1937,11.9
Apr 1937,48.5
May 1937,47
Jun 1937,155.8
Jul 1937,328.3
Aug 1937,189.1
Sep 1937,168.8
Oct 1937,94.7
Nov 1937,21.4
